Sr.No.,Merit (Score),Institute Code,Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type
1.0,56 (99.1414458),3215,321524510,Computer Engineering,JEE,AI to AI,AI
2.0,116 (98.6881511),3215,321524610,Information Technology,JEE,AI to AI,AI
3.0,178 (98.4038715),6271,627124510,Computer Engineering,JEE,AI to AI,AI
4.0,180 (98.3913990),3199,319924510,Computer Engineering,JEE,AI to AI,AI
5.0,202 (98.3014921),6271,627124520,Computer Engineering,JEE,AI to AI,AI
6.0,419 (97.5332917),6271,627124610,Information Technology,JEE,AI to AI,AI
7.0,425 (97.5064459),3199,319924610,Information Technology,JEE,AI to AI,AI
8.0,597 (96.9832324),6273,627324510,Computer Engineering,JEE,AI to AI,AI
9.0,637 (96.8544906),3036,303650710,Chemical Engineering,JEE,AI to AI,AI
10.0,689 (96.6749745),6273,627324520,Computer Engineering,JEE,AI to AI,AI
11.0,707 (96.6446824),3199,319991210,"Computer Science and
Engineering(Data Science)",JEE,AI to AI,AI
12.0,718 (96.6115123),3215,321537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
13.0,783 (96.4632201),4115,411524210,Computer Science and Engineering,JEE,AI to AI,AI
14.0,788 (96.4528706),6273,627324610,Information Technology,JEE,AI to AI,AI
15.0,884 (96.2254497),3209,320924510,Computer Engineering,JEE,AI to AI,AI
16.0,1073 (95.8345556),3182,318224510,Computer Engineering,JEE,AI to AI,AI
17.0,1095 (95.7811606),3036,303653410,Food Engineering and Technology,JEE,AI to AI,AI
18.0,1109 (95.7734521),4115,411524220,Computer Science and Engineering,JEE,AI to AI,AI
19.0,1138 (95.6884030),3209,320924610,Information Technology,JEE,AI to AI,AI
20.0,1184 (95.6318716),3215,321537610,Electronics Engineering,JEE,AI to AI,AI
21.0,1188 (95.6086439),6175,617524510,Computer Engineering,JEE,AI to AI,AI
22.0,1309 (95.3917305),6271,627137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
23.0,1321 (95.3541222),6175,617524520,Computer Engineering,JEE,AI to AI,AI
24.0,1354 (95.3024769),6271,627137220,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
25.0,1386 (95.2376232),3036,303651910,Polymer Engineering and Technology,JEE,AI to AI,AI
26.0,1391 (95.2178570),3185,318524510,Computer Engineering,JEE,AI to AI,AI
27.0,1446 (95.1182239),3182,318224610,Information Technology,JEE,AI to AI,AI
28.0,1513 (94.9982973),4115,411524610,Information Technology,JEE,AI to AI,AI
29.0,1519 (94.9947813),3185,318524520,Computer Engineering,JEE,AI to AI,AI
30.0,1533 (94.9879747),3199,319937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
,,,,Computer Science and,,,
31.0,1601 (94.8591079),4115,411591110,Engineering(Artificial Intelligence and,JEE,AI to AI,AI
,,,,Machine Learning),,,
32.0,1603 (94.8591079),3036,303651310,"Pharmaceuticals Chemistry and
Technology",JEE,AI to AI,AI
33.0,1634 (94.7977247),6289,628924510,Computer Engineering,JEE,AI to AI,AI
34.0,1679 (94.7251739),3199,319937610,Electronics Engineering,JEE,AI to AI,AI
35.0,1746 (94.6215562),4115,411591010,"Computer Science and
Engineering(Cyber Security)",JEE,AI to AI,AI
36.0,1756 (94.5937937),6289,628924520,Computer Engineering,JEE,AI to AI,AI
37.0,1808 (94.5026944),3182,318299510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
38.0,1812 (94.4920082),6276,627624510F,Computer Engineering,JEE,AI to AI,AI
39.0,1861 (94.4159187),6175,617524610,Information Technology,JEE,AI to AI,AI
40.0,1884 (94.4114276),4115,411591210,"Computer Science and
Engineering(Data Science)",JEE,AI to AI,AI
41.0,1891 (94.3815612),3176,317624510,Computer Engineering,JEE,AI to AI,AI
42.0,1909 (94.3390626),6274,627424510,Computer Engineering,JEE,AI to AI,AI
43.0,1966 (94.2790029),3036,303651210,"Oil,Oleochemicals and Surfactants
Technology",JEE,AI to AI,AI
44.0,1988 (94.2251676),6273,627399510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
45.0,2133 (93.9600114),3184,318424510,Computer Engineering,JEE,AI to AI,AI
46.0,2134 (93.9600114),3185,318524610,Information Technology,JEE,AI to AI,AI
47.0,2199 (93.9116921),3209,320999510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
48.0,2246 (93.7994851),3184,318499510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
49.0,2250 (93.7994851),3214,321424510,Computer Engineering,JEE,AI to AI,AI
50.0,2255 (93.7932185),6754,675424510,Computer Engineering,JEE,AI to AI,AI
51.0,2292 (93.7385915),3185,318599510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
52.0,2306 (93.7037238),6289,628924610,Information Technology,JEE,AI to AI,AI
53.0,2343 (93.6335200),6276,627624520F,Computer Engineering,JEE,AI to AI,AI
54.0,2437 (93.4905849),3197,319724510,Computer Engineering,JEE,AI to AI,AI
55.0,2457 (93.4717874),3199,319961210,Mechanical Engineering,JEE,AI to AI,AI
56.0,2555 (93.2964586),6146,614624510,Computer Engineering,JEE,AI to AI,AI
57.0,2580 (93.2629560),6273,627337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
58.0,2622 (93.1873354),3183,318361210,Mechanical Engineering,JEE,AI to AI,AI
59.0,2695 (93.0885184),6273,627337220,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
60.0,2755 (92.9652821),4115,411537010,"Electronics and Communication
Engineering",JEE,AI to AI,AI
61.0,2772 (92.9637276),3182,318237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
62.0,2782 (92.9511398),6278,627824510,Computer Engineering,JEE,AI to AI,AI
63.0,2860 (92.7866138),3176,317624610,Information Technology,JEE,AI to AI,AI
64.0,2861 (92.7827663),3139,313924510,Computer Engineering,JEE,AI to AI,AI
65.0,2873 (92.7827663),6276,627624610F,Information Technology,JEE,AI to AI,AI
66.0,2931 (92.6903003),6274,627424610,Information Technology,JEE,AI to AI,AI
67.0,2947 (92.6768827),3036,303651110,Dyestuff Technology,JEE,AI to AI,AI
68.0,2948 (92.6768827),3184,318461210,Mechanical Engineering,JEE,AI to AI,AI
69.0,2982 (92.6070387),3208,320824510,Computer Engineering,JEE,AI to AI,AI
