Sr. No,"All India 
Merit",Institute Code,Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type
1,238 (98.8523050),3215,321524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
2,277 (98.7438359),6271,627124510,Computer Engineering,JEE(Main),AI to AI,AI
3,373 (98.4527356),3215,321591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
4,508 (98.0892029),6271,627124610,Information Technology,JEE(Main),AI to AI,AI
5,515 (98.0637758),3215,321591210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
6,625 (97.7883601),3199,319924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
7,899 (97.1317632),3036,303650710,Chemical Engineering,JEE(Main),AI to AI,AI
8,923 (97.0900993),6273,627324510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
9,1058 (96.8279880),3199,319991210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
10,1097 (96.7462457),6273,627324610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
11,1139 (96.6657262),3199,319924610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
12,1290 (96.3492033),3215,321537210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
13,1338 (96.2483260),3209,320924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
14,1423 (96.0584146),4115,411524210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering,,,
,,,,,,,
15,1434 (96.0236432),3182,318224510,Computer Engineering,JEE(Main),AI to AI,AI
16,1510 (95.8720746),3199,319926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI
,,,,and Data Science,,,
17,1620 (95.6500551),6271,627137210,Electronics and ,JEE(Main),AI to AI,AI
,,,,Telecommunication Engg,,,
18,1678 (95.5216724),6175,617524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
19,1681 (95.5166217),4115,411591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
20,1820 (95.2715124),3199,319992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Machine Learning,,,
21,1824 (95.2584303),3209,320924610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
22,1859 (95.1987738),4115,411524610,Information Technology,JEE(Main),AI to AI,AI
23,1902 (95.1208417),3199,319992010,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering (Internet of ,,,
24,2010 (94.9026288),3036,303653410,Food Engineering and ,JEE(Main),AI to AI,AI
,,,,Technology,,,
25,2074 (94.7986823),4115,411591210,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Data Science),,,
26,2085 (94.7870904),3185,318524510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
27,2092 (94.7632908),6276,627624550F,Computer Engineering,JEE(Main),AI to AI,AI
28,2134 (94.6897502),6273,627399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
,,,,,,,
29,2159 (94.6339905),6175,617524610,Information Technology,JEE(Main),AI to AI,AI
,,,,,,,
30,2175 (94.6055728),3036,303651310,Pharmaceuticals ,JEE(Main),AI to AI,AI
,,,,Chemistry and Technology,,,
31,2192 (94.5820313),3036,303651910,Polymer Engineering and ,JEE(Main),AI to AI,AI
,,,,Technology,,,
32,2228 (94.5264885),3036,303651210,"Oil,Oleochemicals and ",JEE(Main),AI to AI,AI
,,,,Surfactants Technology,,,
33,2366 (94.2855484),6175,617591110,Computer Science and ,JEE(Main),AI to AI,AI
,,,,Engineering(Artificial ,,,
34,2401 (94.2028986),6289,628924510,Computer Engineering,JEE(Main),AI to AI,AI
,,,,,,,
35,2487 (94.0478477),3182,318224610,Information Technology,JEE(Main),AI to AI,AI
36,2539 (93.9588110),6796,679624510,Computer Engineering,JEE(Main),AI to AI,AI
37,2562 (93.9334867),3209,320999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI
,,,,Data Science,,,
