Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
1,238 (99.0458607),600624510,Computer Engineering,JEE(Main),AI to AI,AI,6006
2,410 (98.6226274),321524510,Computer Engineering,JEE(Main),AI to AI,AI,3215
,,,,,,,
3,496 (98.3917833),600637210,Electronics and ,JEE(Main),AI to AI,AI,6006
,,,Telecommunication Engg,,,,
4,585 (98.1838660),627124510,Computer Engineering,JEE(Main),AI to AI,AI,6271
5,709 (97.8952385),319924510,Computer Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
6,726 (97.8515259),321591110,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering(Artificial ,,,,
7,759 (97.7840200),321591210,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering(Data Science),,,,
8,785 (97.7100538),627124610,Information Technology,JEE(Main),AI to AI,AI,6271
9,916 (97.3729713),600629310,Electrical Engineering,JEE(Main),AI to AI,AI,6006
10,978 (97.2490833),319924610,Information Technology,JEE(Main),AI to AI,AI,3199
,,,,,,,
11,1129 (96.9358943),319991210,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering(Data Science),,,,
12,1189 (96.8227216),627324510,Computer Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
13,1251 (96.6949982),321124510,Computer Engineering,JEE(Main),AI to AI,AI,3211
14,1264 (96.6472213),318224510,Computer Engineering,JEE(Main),AI to AI,AI,3182
,,,,,,,
15,1411 (96.3944396),319992010,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering (Internet of ,,,,
16,1548 (96.1041573),600646410,Instrumentation and ,JEE(Main),AI to AI,AI,6006
,,,Control Engineering,,,,
17,1608 (96.0017022),319926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3199
,,,and Data Science,,,,
18,1660 (95.8995105),319992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3199
,,,Machine Learning,,,,
19,1688 (95.8472516),321537210,Electronics and ,JEE(Main),AI to AI,AI,3215
,,,Telecommunication Engg,,,,
20,1706 (95.8185109),318224610,Information Technology,JEE(Main),AI to AI,AI,3182
21,1735 (95.7673602),627324610,Information Technology,JEE(Main),AI to AI,AI,6273
,,,,,,,
22,1749 (95.7407581),600661210,Mechanical Engineering,JEE(Main),AI to AI,AI,6006
23,1779 (95.6981036),303650710,Chemical Engineering,JEE(Main),AI to AI,AI,3036
24,1789 (95.6774372),617524510,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
25,1953 (95.3823299),627137210,Electronics and ,JEE(Main),AI to AI,AI,6271
,,,Telecommunication Engg,,,,
26,1981 (95.3334381),320924510,Computer Engineering,JEE(Main),AI to AI,AI,3209
27,2023 (95.2209324),627391110,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering(Artificial ,,,,
28,2061 (95.1635080),318524510,Computer Engineering,JEE(Main),AI to AI,AI,3185
,,,,,,,
,,,,,,,
29,2109 (95.0814731),318299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3182
,,,Data Science,,,,
30,2132 (95.0427350),617524610,Information Technology,JEE(Main),AI to AI,AI,6175
,,,,,,,
31,2154 (95.0005959),411524210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering,,,,
32,2157 (94.9932697),303651310,Pharmaceuticals ,JEE(Main),AI to AI,AI,3036
,,,Chemistry and Technology,,,,
33,2178 (94.9447669),627391310,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering (Artificial ,,,,
34,2316 (94.6887538),319724510,Computer Engineering,JEE(Main),AI to AI,AI,3197
,,,,,,,
35,2351 (94.6467575),617591110,Computer Science and ,JEE(Main),AI to AI,AI,6175
,,,Engineering(Artificial ,,,,
36,2505 (94.3674718),317624510,Computer Engineering,JEE(Main),AI to AI,AI,3176
37,2522 (94.3181996),318424510,Computer Engineering,JEE(Main),AI to AI,AI,3184
38,2540 (94.2908421),628924510,Computer Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
39,2576 (94.2290886),627624550F,Computer Engineering,JEE(Main),AI to AI,AI,6276
40,2633 (94.1342822),627399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6273
,,,Data Science,,,,
41,2694 (94.0328382),600619110,Civil Engineering,JEE(Main),AI to AI,AI,6006
42,2714 (93.9737494),303651910,Polymer Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
,,,,,,,
43,2790 (93.8626516),320924610,Information Technology,JEE(Main),AI to AI,AI,3209
44,2791 (93.8492904),411524610,Information Technology,JEE(Main),AI to AI,AI,4115
45,2796 (93.8425797),318524610,Information Technology,JEE(Main),AI to AI,AI,3185
,,,,,,,
46,2824 (93.8135798),627624650F,Information Technology,JEE(Main),AI to AI,AI,6276
47,2914 (93.6076438),319937210,Electronics and ,JEE(Main),AI to AI,AI,3199
,,,Telecommunication Engg,,,,
48,2958 (93.5477203),319724610,Information Technology,JEE(Main),AI to AI,AI,3197
,,,,,,,
49,2980 (93.5004571),320999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3209
,,,Data Science,,,,
50,3038 (93.3980430),317692110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3176
,,,Machine Learning,,,,
51,3045 (93.3765087),320824510,Computer Engineering,JEE(Main),AI to AI,AI,3208
52,3048 (93.3760383),627224510,Computer Engineering,JEE(Main),AI to AI,AI,6272
53,3179 (93.1647724),628924610,Information Technology,JEE(Main),AI to AI,AI,6289
,,,,,,,
54,3271 (92.9962363),411591110,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Artificial ,,,,
55,3285 (92.9712859),628991110,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering(Artificial ,,,,
56,3328 (92.9282899),628991310,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering (Artificial ,,,,
,,,,,,,
57,3339 (92.9014590),313924510,Computer Engineering,JEE(Main),AI to AI,AI,3139
58,3390 (92.7823248),627424510,Computer Engineering,JEE(Main),AI to AI,AI,6274
,,,,,,,
59,3423 (92.7571707),303653410,Food Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
60,3444 (92.6968746),627337210,Electronics and ,JEE(Main),AI to AI,AI,6273
,,,Telecommunication Engg,,,,
61,3483 (92.6408550),411591210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Data Science),,,,
62,3515 (92.6004691),411591010,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Cyber ,,,,
63,3620 (92.3902372),317624610,Information Technology,JEE(Main),AI to AI,AI,3176
64,3648 (92.3330553),628999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6289
,,,Data Science,,,,
65,3652 (92.3330212),679624510,Computer Engineering,JEE(Main),AI to AI,AI,6796
66,3667 (92.3123971),318599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3185
,,,Data Science,,,,
67,3840 (91.9969135),617527110,Computer Engineering ,JEE(Main),AI to AI,AI,6175
,,,(Regional Language),,,,
68,3918 (91.8393943),318237210,Electronics and ,JEE(Main),AI to AI,AI,3182
,,,Telecommunication Engg,,,,
69,3946 (91.7966754),317691010,Computer Science and ,JEE(Main),AI to AI,AI,3176
,,,Engineering(Cyber ,,,,
70,4002 (91.6841128),600662710,Manufacturing Science ,JEE(Main),AI to AI,AI,6006
,,,and Engineering,,,,
,,,,,,,
71,4015 (91.6749410),626724210,Computer Science and ,JEE(Main),AI to AI,AI,6267
,,,Engineering,,,,
72,4041 (91.6436528),313924610,Information Technology,JEE(Main),AI to AI,AI,3139
73,4046 (91.6387803),318499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3184
,,,Data Science,,,,
74,4128 (91.4790041),627224610,Information Technology,JEE(Main),AI to AI,AI,6272
75,4176 (91.4176968),627424610,Information Technology,JEE(Main),AI to AI,AI,6274
,,,,,,,
