Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
1,208 (99.3009880),321524510,Computer Engineering,JEE,AI to AI,AI,3215
2,410 (98.9359770),627124510,Computer Engineering,JEE,AI to AI,AI,6271
3,419 (98.9279741),321524610,Information Technology,JEE,AI to AI,AI,
4,429 (98.9040057),303650710,Chemical Engineering,JEE,AI to AI,AI,
5,461 (98.8512799),627124520,Computer Engineering,JEE,AI to AI,AI,6271
6,482 (98.8125476),627124610,Information Technology,JEE,AI to AI,AI,6271
7,502 (98.7822882),319924510,Computer Engineering,JEE,AI to AI,AI,3199
8,566 (98.6775577),318124510,Computer Engineering,JEE,AI to AI,AI,3181
9,867 (98.2329011),411524210,Computer Science and Engineering,JEE,AI to AI,AI,4115
10,954 (98.1116316),321537210,Electronics and Telecommunication,JEE,AI to AI,AI,
11,966 (98.1031743),303651310,Pharmaceuticals Chemistry and,JEE,AI to AI,AI,
12,1063 (97.9708701),303651910,Polymer Engineering and Technology,JEE,AI to AI,AI,
13,1100 (97.9264263),627324510,Computer Engineering,JEE,AI to AI,AI,
14,1163 (97.8153243),627324520,Computer Engineering,JEE,AI to AI,AI,
15,1270 (97.6631441),318524520,Computer Engineering,JEE,AI to AI,AI,3185
16,1278 (97.6572395),303653410,Food Engineering and Technology,JEE,AI to AI,AI,3036
17,1302 (97.6177507),318161210,Mechanical Engineering,JEE,AI to AI,AI,3181
18,1344 (97.5657110),627324610,Information Technology,JEE,AI to AI,AI,6273
19,1441 (97.4297315),318224510,Computer Engineering,JEE,AI to AI,AI,3182
20,1590 (97.2118993),627137210,Electronics and Telecommunication,JEE,AI to AI,AI,6271
21,1658 (97.1078057),411524220,Computer Science and Engineering,JEE,AI to AI,AI,4115
22,1676 (97.0785194),627137220,Electronics and Telecommunication,JEE,AI to AI,AI,6271
23,1702 (97.0624024),617524510,Computer Engineering,JEE,AI to AI,AI,6175
24,1743 (97.0111671),319937210,Electronics and Telecommunication,JEE,AI to AI,AI,3199
25,1789 (96.9589166),321537610,Electronics Engineering,JEE,AI to AI,AI,
26,1801 (96.9485655),303651410,Fibres and Textile Processing,JEE,AI to AI,AI,
27,1889 (96.8445772),320924510,Computer Engineering,JEE,AI to AI,AI,3209
