Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
1,319 (99.2779416),600624510,Computer Engineering,JEE(Main),AI to AI,AI,6006
2,562 (98.9047097),600637210,Electronics and ,JEE(Main),AI to AI,AI,6006
,,,Telecommunication Engg,,,,
3,642 (98.7868142),600626610,Robotics and Artificial ,JEE(Main),AI to AI,AI,6006
,,,Intelligence,,,,
4,733 (98.6576473),627124510,Computer Engineering,JEE(Main),AI to AI,AI,6271
5,762 (98.6103531),321524210,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering,,,,
6,825 (98.5315511),321524510,Computer Engineering,JEE(Main),AI to AI,AI,3215
,,,,,,,
7,843 (98.5166391),600629310,Electrical Engineering,JEE(Main),AI to AI,AI,6006
8,939 (98.3719243),627126310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6271
,,,and Data Science,,,,
9,967 (98.3487845),627124610,Information Technology,JEE(Main),AI to AI,AI,6271
10,983 (98.3226020),319924510,Computer Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
11,1129 (98.1414349),319926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3199
,,,and Data Science,,,,
12,1138 (98.1300256),627184410,Electronics and Computer ,JEE(Main),AI to AI,AI,6271
,,,Engineering,,,,
13,1213 (98.0127906),319924610,Information Technology,JEE(Main),AI to AI,AI,3199
,,,,,,,
14,1221 (98.0075208),319991210,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering(Data Science),,,,
,,,,,,,
15,1451 (97.7386968),627324510,Computer Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
16,1559 (97.5955586),303650710,Chemical Engineering,JEE(Main),AI to AI,AI,3036
17,1572 (97.5830816),321537210,Electronics and ,JEE(Main),AI to AI,AI,3215
,,,Telecommunication Engg,,,,
18,1591 (97.5667664),303651910,Polymer Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
19,1706 (97.4139513),318224510,Computer Engineering,JEE(Main),AI to AI,AI,3182
20,1773 (97.3284768),617591110,Computer Science and ,JEE(Main),AI to AI,AI,6175
,,,Engineering(Artificial ,,,,
