Institute_Code,Institute_Name,City,Status,Total_Intake
1002,Government College of Engineering,Amravati,Aided,390
1005,Sant Gadge Baba Amravati University,Amravati,Un-Aided,60
1012,Government College of Engineering,Yavatmal,Aided,300
1101,Shri Sant Gajanan Maharaj College of Engineering,Shegaon,Un-Aided,360
1105,Prof. Ram Meghe Institute of Technology & Research,Amravati,Un-Aided,780
1107,P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus),Amravati,Un-Aided,480
1114,Sipna Shikshan Prasarak Mandal College of Engineering & Technology,Amravati,Un-Aided,540
1116,Shri Shivaji Education Society's College of Engineering and Technology,Akola,Un-Aided,300
1117,Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering,Pusad,Un-Aided,330
1119,Paramhansa Ramkrishna Maunibaba Shikshan Santha's,Chikhali,Un-Aided,285
1120,Jawaharlal Darda Institute of Engineering and Technology,Yavatmal,Un-Aided,330
1121,Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology,Amravati,Un-Aided,240
1123,Dr.Rajendra Gode Institute of Technology & Research,Amravati,Un-Aided,240
1125,Dwarka Bahu Uddeshiya Gramin Vikas Foundation,Buldhana,Un-Aided,150
1126,Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology,Amravati,Un-Aided,240
1127,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology,Yavatmal,Un-Aided,270
1128,Prof Ram Meghe College of Engineering and Management,Badnera,Un-Aided,480
1130,Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies,Yelgaon,Un-Aided,180
1180,Sanmati Engineering College,Washim,Un-Aided,300
1182,Padmashri Dr. V.B. Kolte College of Engineering,Buldhana,Un-Aided,240
1265,Mauli Group of Institutions,Shegaon.,Un-Aided,360
1268,Siddhivinayak Technical Campus,Nile,Un-Aided,150
1276,Manav School of Engineering & Technology,AKOLA,Un-Aided,108
2008,Government College of Engineering,Aurangabad,Aided,360
2020,Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded,Aided,610
2021,University Department of Chemical Technology,Aurangabad,Un-Aided,22
2032,Institute of Chemical Technology,Jalna,Un-Aided,60
2111,Everest Education Society,Ohar,Un-Aided,120
2112,Shree Yash Pratishthan,Aurangabad,Un-Aided,510
2113,G. S. Mandal's Maharashtra Institute of Technology,Aurangabad,Un-Aided,1110
2114,Deogiri Institute of Engineering and Management Studies,Aurangabad,Un-Aided,540
2116,Matoshri Pratishan's Group of Institutions (Integrated Campus),Nanded,Un-Aided,300
2127,Mahatma Gandhi Missions College of Engineering,Nanded.,Un-Aided,360
2129,M.S. Bidve Engineering College,Latur,Un-Aided,360
2130,Terna Public Charitable Trust's College of Engineering,Osmanabad,Un-Aided,300
2131,Shree Tuljabhavani College of Engineering,Tuljapur,Un-Aided,240
2133,Mahatma Basaweshwar Education Society's College of Engineering,Ambejogai,Un-Aided,330
2134,Peoples Education Society's College of Engineering,Aurangabad,Un-Aided,390
2135,Hi-Tech Institute of Technology,Aurangabad,Un-Aided,360
2136,Aditya Engineering College,Beed,Un-Aided,420
2137,Nagnathappa Halge Engineering College,Beed,Un-Aided,240
2138,Matsyodari Shikshan Sansatha's College of Engineering and Technology,Jalna,Un-Aided,210
2146,Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology,Osmanabad,Un-Aided,90
