"Institute_Code";"ChoiceCode";"CourseName";"Exam";"CutoffRank";"CutoffScore"
3215;"321524510";"Computer Engineering";"JEE";56;99.1414
3215;"321524610";"Information Technology";"JEE";116;98.6881
6271;"627124510";"Computer Engineering";"JEE";178;98.4039
3199;"319924510";"Computer Engineering";"JEE";180;98.3914
6271;"627124520";"Computer Engineering";"JEE";202;98.3015
6271;"627124610";"Information Technology";"JEE";419;97.5333
3199;"319924610";"Information Technology";"JEE";425;97.5064
6273;"627324510";"Computer Engineering";"JEE";597;96.9832
3036;"303650710";"Chemical Engineering";"JEE";637;96.8545
6273;"627324520";"Computer Engineering";"JEE";689;96.675
3199;"319991210";"Computer Science and
Engineering(Data Science)";"JEE";707;96.6447
3215;"321537210";"Electronics and Telecommunication
Engg";"JEE";718;96.6115
4115;"411524210";"Computer Science and Engineering";"JEE";783;96.4632
6273;"627324610";"Information Technology";"JEE";788;96.4529
3209;"320924510";"Computer Engineering";"JEE";884;96.2254
3182;"318224510";"Computer Engineering";"JEE";1073;95.8346
3036;"303653410";"Food Engineering and Technology";"JEE";1095;95.7812
4115;"411524220";"Computer Science and Engineering";"JEE";1109;95.7735
3209;"320924610";"Information Technology";"JEE";1138;95.6884
3215;"321537610";"Electronics Engineering";"JEE";1184;95.6319
6175;"617524510";"Computer Engineering";"JEE";1188;95.6086
6271;"627137210";"Electronics and Telecommunication
Engg";"JEE";1309;95.3917
6175;"617524520";"Computer Engineering";"JEE";1321;95.3541
6271;"627137220";"Electronics and Telecommunication
Engg";"JEE";1354;95.3025
3036;"303651910";"Polymer Engineering and Technology";"JEE";1386;95.2376
3185;"318524510";"Computer Engineering";"JEE";1391;95.2179
3182;"318224610";"Information Technology";"JEE";1446;95.1182
4115;"411524610";"Information Technology";"JEE";1513;94.9983
3185;"318524520";"Computer Engineering";"JEE";1519;94.9948
3199;"319937210";"Electronics and Telecommunication
Engg";"JEE";1533;94.988
4115;"411591110";"Engineering(Artificial Intelligence and";"JEE";1601;94.8591
3036;"303651310";"Pharmaceuticals Chemistry and
Technology";"JEE";1603;94.8591
6289;"628924510";"Computer Engineering";"JEE";1634;94.7977
3199;"319937610";"Electronics Engineering";"JEE";1679;94.7252
4115;"411591010";"Computer Science and
Engineering(Cyber Security)";"JEE";1746;94.6216
6289;"628924520";"Computer Engineering";"JEE";1756;94.5938
3182;"318299510";"Artificial Intelligence and Data Science";"JEE";1808;94.5027
6276;"627624510F";"Computer Engineering";"JEE";1812;94.492
6175;"617524610";"Information Technology";"JEE";1861;94.4159
4115;"411591210";"Computer Science and
Engineering(Data Science)";"JEE";1884;94.4114
3176;"317624510";"Computer Engineering";"JEE";1891;94.3816
6274;"627424510";"Computer Engineering";"JEE";1909;94.3391
3036;"303651210";"Oil,Oleochemicals and Surfactants
Technology";"JEE";1966;94.279
6273;"627399510";"Artificial Intelligence and Data Science";"JEE";1988;94.2252
3184;"318424510";"Computer Engineering";"JEE";2133;93.96
3185;"318524610";"Information Technology";"JEE";2134;93.96
3209;"320999510";"Artificial Intelligence and Data Science";"JEE";2199;93.9117
3184;"318499510";"Artificial Intelligence and Data Science";"JEE";2246;93.7995
3214;"321424510";"Computer Engineering";"JEE";2250;93.7995
6754;"675424510";"Computer Engineering";"JEE";2255;93.7932
3185;"318599510";"Artificial Intelligence and Data Science";"JEE";2292;93.7386
6289;"628924610";"Information Technology";"JEE";2306;93.7037
6276;"627624520F";"Computer Engineering";"JEE";2343;93.6335
3197;"319724510";"Computer Engineering";"JEE";2437;93.4906
3199;"319961210";"Mechanical Engineering";"JEE";2457;93.4718
6146;"614624510";"Computer Engineering";"JEE";2555;93.2965
6273;"627337210";"Electronics and Telecommunication
Engg";"JEE";2580;93.263
3183;"318361210";"Mechanical Engineering";"JEE";2622;93.1873
6273;"627337220";"Electronics and Telecommunication
Engg";"JEE";2695;93.0885
4115;"411537010";"Electronics and Communication
Engineering";"JEE";2755;92.9653
3182;"318237210";"Electronics and Telecommunication
Engg";"JEE";2772;92.9637
6278;"627824510";"Computer Engineering";"JEE";2782;92.9511
3176;"317624610";"Information Technology";"JEE";2860;92.7866
